NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_KINETOCHORE_ORGANIZATION	GOBP_KINETOCHORE_ORGANIZATION	Details ...	22	0.7966149	1.8739623	0.0	0.0017009676	0.029	1421	tags=45%, list=8%, signal=49%	
GNF2_CCNB2	GNF2_CCNB2	Details ...	55	0.7437328	1.8713921	0.0	0.0018281753	0.032	3324	tags=60%, list=18%, signal=73%	
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	Details ...	12	0.8606894	1.8643467	0.0	0.0024142654	0.044	857	tags=50%, list=5%, signal=52%	
GNF2_BUB1	GNF2_BUB1	Details ...	26	0.7817147	1.8625052	0.0	0.0024430996	0.047	1486	tags=54%, list=8%, signal=58%	
GNF2_RRM1	GNF2_RRM1		86	0.7200288	1.861844	0.0	0.0023742393	0.048	1786	tags=48%, list=9%, signal=52%	
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT		57	0.74059576	1.8551518	0.0	0.0026289725	0.054	2175	tags=56%, list=12%, signal=63%	
GNF2_ESPL1	GNF2_ESPL1		35	0.7673815	1.8501092	0.0	0.0027314515	0.059	3324	tags=66%, list=18%, signal=80%	
BIOCARTA_PROTEASOME_PATHWAY	BIOCARTA_PROTEASOME_PATHWAY		19	0.799308	1.8476721	0.0	0.0028669713	0.065	2675	tags=79%, list=14%, signal=92%	
REACTOME_DNA_STRAND_ELONGATION	REACTOME_DNA_STRAND_ELONGATION		32	0.75942063	1.845704	0.0	0.0030314869	0.072	2218	tags=66%, list=12%, signal=74%	
GOBP_TELOMERE_MAINTENANCE_VIA_SEMI_CONSERVATIVE_REPLICATION	GOBP_TELOMERE_MAINTENANCE_VIA_SEMI_CONSERVATIVE_REPLICATION		27	0.7749697	1.8454353	0.0	0.0030683049	0.075	2218	tags=67%, list=12%, signal=75%	
HP_PRIMARY_PERITONEAL_CARCINOMA	HP_PRIMARY_PERITONEAL_CARCINOMA		14	0.83248955	1.8452898	0.0	0.0029915965	0.076	1817	tags=79%, list=10%, signal=87%	
REACTOME_CHROMOSOME_MAINTENANCE	REACTOME_CHROMOSOME_MAINTENANCE		92	0.71308297	1.8441595	0.0	0.0029203817	0.077	2471	tags=52%, list=13%, signal=60%	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP		147	0.6980126	1.8418766	0.0	0.0029916798	0.08	3312	tags=53%, list=18%, signal=64%	
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP		42	0.74694794	1.8397244	0.0	0.0030914014	0.086	1599	tags=48%, list=8%, signal=52%	
KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN	KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN		10	0.874329	1.839001	0.0	0.00308824	0.088	1486	tags=60%, list=8%, signal=65%	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL		57	0.72620326	1.836706	0.0	0.003116374	0.092	3411	tags=67%, list=18%, signal=81%	
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN	REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_ADDITIONAL_CELL_CYCLE_GENES_WHOSE_EXACT_ROLE_IN_THE_P53_PATHWAY_REMAIN_UNCERTAIN		21	0.7838639	1.8357121	0.0	0.0031125825	0.095	1128	tags=38%, list=6%, signal=40%	
MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_DN	MOREAUX_B_LYMPHOCYTE_MATURATION_BY_TACI_DN		73	0.7209592	1.8340857	0.0	0.0030503615	0.096	2221	tags=49%, list=12%, signal=56%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME		23	0.7797927	1.8314037	0.0	0.003219617	0.103	3111	tags=74%, list=16%, signal=88%	
GNF2_CCNA2	GNF2_CCNA2		66	0.7193098	1.829398	0.0	0.0032409376	0.107	3324	tags=56%, list=18%, signal=68%	
GOCC_METHYLOSOME	GOCC_METHYLOSOME		12	0.83477837	1.8287134	0.0	0.0032072417	0.109	1997	tags=58%, list=11%, signal=65%	
GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX	GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX		22	0.7842605	1.82741	0.0	0.003254069	0.114	1373	tags=64%, list=7%, signal=69%	
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR		21	0.78093934	1.8255163	0.0	0.003349603	0.12	2056	tags=71%, list=11%, signal=80%	
HP_ASTROCYTOMA	HP_ASTROCYTOMA		22	0.77377856	1.8254814	0.0	0.0032658628	0.12	2742	tags=50%, list=15%, signal=58%	
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE		99	0.7019606	1.825404	0.0	0.0031862075	0.12	3274	tags=62%, list=17%, signal=74%	
REACTOME_RRNA_PROCESSING	REACTOME_RRNA_PROCESSING		198	0.6872263	1.8252362	0.0	0.0031341016	0.12	3125	tags=59%, list=17%, signal=69%	
REACTOME_LAGGING_STRAND_SYNTHESIS	REACTOME_LAGGING_STRAND_SYNTHESIS		20	0.7902533	1.8249094	0.0	0.0030612156	0.12	2218	tags=70%, list=12%, signal=79%	
GOBP_RIBOSOME_BIOGENESIS	GOBP_RIBOSOME_BIOGENESIS		290	0.67808837	1.824798	0.0	0.0029916426	0.12	3125	tags=55%, list=17%, signal=65%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION		36	0.7496181	1.8244703	0.0	0.0029251615	0.12	2828	tags=67%, list=15%, signal=78%	
GOBP_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION	GOBP_DNA_REPLICATION_INDEPENDENT_NUCLEOSOME_ORGANIZATION		38	0.74358064	1.823717	0.0	0.002926636	0.123	1518	tags=45%, list=8%, signal=49%	
GNF2_DAP3	GNF2_DAP3		112	0.69735223	1.8219568	0.0	0.0029704487	0.128	2372	tags=51%, list=13%, signal=58%	
GNF2_RRM2	GNF2_RRM2		39	0.74658364	1.8218075	0.0	0.0029085642	0.128	1786	tags=51%, list=9%, signal=57%	
GOCC_90S_PRERIBOSOME	GOCC_90S_PRERIBOSOME		26	0.7730697	1.821499	0.0	0.0029509733	0.131	2457	tags=65%, list=13%, signal=75%	
GNF2_CDC2	GNF2_CDC2		60	0.7174927	1.8207926	0.0	0.0030116218	0.136	1878	tags=47%, list=10%, signal=52%	
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_CELL_CYCLE_CHECKPOINTS		254	0.67939925	1.8176455	0.0	0.0032067702	0.149	3104	tags=52%, list=16%, signal=61%	
WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY	WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY		15	0.8152558	1.8175925	0.0	0.0031451017	0.149	1388	tags=67%, list=7%, signal=72%	
GOMF_3_5_DNA_HELICASE_ACTIVITY	GOMF_3_5_DNA_HELICASE_ACTIVITY		16	0.81297565	1.8175118	0.0	0.0030857602	0.149	1515	tags=63%, list=8%, signal=68%	
GOBP_RRNA_METABOLIC_PROCESS	GOBP_RRNA_METABOLIC_PROCESS		225	0.68024135	1.8174233	0.0	0.0030286163	0.149	3125	tags=56%, list=17%, signal=66%	
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION		112	0.69367707	1.8164011	0.0	0.0030823005	0.155	3246	tags=56%, list=17%, signal=68%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT		111	0.69773215	1.8157929	0.0	0.0030628801	0.157	3234	tags=55%, list=17%, signal=66%	
GNF2_SMC2L1	GNF2_SMC2L1		32	0.7599321	1.8157078	0.0	0.0030266412	0.158	3324	tags=69%, list=18%, signal=83%	
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS		69	0.71217376	1.8143996	0.0	0.0030947847	0.163	2971	tags=59%, list=16%, signal=70%	
GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX		33	0.75201637	1.8134333	0.0	0.003177563	0.168	2915	tags=64%, list=15%, signal=75%	
GOBP_RNA_5_END_PROCESSING	GOBP_RNA_5_END_PROCESSING		22	0.7761392	1.8132184	0.0	0.0031412293	0.169	2551	tags=68%, list=14%, signal=79%	
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR		65	0.71736753	1.8126377	0.0	0.0031387727	0.17	3070	tags=66%, list=16%, signal=79%	
GOBP_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER	GOBP_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER		85	0.7017577	1.8116357	0.0	0.0031685738	0.174	3520	tags=59%, list=19%, signal=72%	
GOCC_PRERIBOSOME	GOCC_PRERIBOSOME		72	0.70976156	1.8105508	0.0	0.0032132398	0.177	3085	tags=61%, list=16%, signal=73%	
MODULE_432	MODULE_432		15	0.82480115	1.8096317	0.0	0.003240953	0.18	1388	tags=60%, list=7%, signal=65%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE		18	0.7990664	1.8079079	0.0	0.0033904938	0.193	3573	tags=89%, list=19%, signal=110%	
GNF2_TTK	GNF2_TTK		39	0.7353743	1.8049214	0.0	0.003626222	0.209	2075	tags=51%, list=11%, signal=57%	
GOCC_PROTEASOME_CORE_COMPLEX	GOCC_PROTEASOME_CORE_COMPLEX		20	0.7858543	1.8033001	0.0	0.0036762867	0.215	1585	tags=55%, list=8%, signal=60%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE		112	0.69421226	1.802145	0.0	0.0038274713	0.224	3274	tags=61%, list=17%, signal=73%	
GOCC_LARGE_RIBOSOMAL_SUBUNIT	GOCC_LARGE_RIBOSOMAL_SUBUNIT		113	0.696902	1.801159	0.0	0.0039020553	0.231	2211	tags=52%, list=12%, signal=59%	
GNF2_MCM5	GNF2_MCM5		60	0.7139394	1.7991303	0.0	0.004088496	0.243	3324	tags=58%, list=18%, signal=71%	
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES		11	0.8396463	1.7967075	0.0	0.0044241278	0.265	1499	tags=73%, list=8%, signal=79%	
REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC	REACTOME_FOLDING_OF_ACTIN_BY_CCT_TRIC		10	0.8516608	1.7964556	0.0	0.004376531	0.265	2339	tags=80%, list=12%, signal=91%	
GNF2_RAN	GNF2_RAN		80	0.7026625	1.7953359	0.0	0.0044258498	0.273	2437	tags=51%, list=13%, signal=59%	
HP_INTESTINAL_PSEUDO_OBSTRUCTION	HP_INTESTINAL_PSEUDO_OBSTRUCTION		16	0.78874475	1.7945611	0.0	0.004487322	0.278	1013	tags=50%, list=5%, signal=53%	
WINNEPENNINCKX_MELANOMA_METASTASIS_UP	WINNEPENNINCKX_MELANOMA_METASTASIS_UP		156	0.6814037	1.7932777	0.0	0.00456047	0.285	3324	tags=51%, list=18%, signal=62%	
MODULE_125	MODULE_125		43	0.7168822	1.7928928	0.0	0.004539819	0.287	3360	tags=65%, list=18%, signal=79%	
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA		26	0.75626063	1.7925436	0.0	0.0045585553	0.29	2890	tags=73%, list=15%, signal=86%	
GOCC_PRONUCLEUS	GOCC_PRONUCLEUS		12	0.827949	1.7910745	0.0	0.0046534915	0.298	894	tags=33%, list=5%, signal=35%	
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE	GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE		10	0.85828394	1.7906443	0.0	0.004670352	0.301	2339	tags=90%, list=12%, signal=103%	
HP_NEOPLASM_OF_THE_COLON	HP_NEOPLASM_OF_THE_COLON		78	0.699068	1.7905169	0.0	0.004649345	0.302	2842	tags=51%, list=15%, signal=60%	
REACTOME_TELOMERE_MAINTENANCE	REACTOME_TELOMERE_MAINTENANCE		65	0.7026634	1.7878809	0.0	0.0049735187	0.324	3328	tags=58%, list=18%, signal=71%	
GNF2_HAT1	GNF2_HAT1		49	0.7132413	1.7876409	0.0	0.0049250214	0.324	2945	tags=53%, list=16%, signal=63%	
PID_FANCONI_PATHWAY	PID_FANCONI_PATHWAY		45	0.7214516	1.7874058	0.0	0.004913745	0.326	4374	tags=78%, list=23%, signal=101%	
REACTOME_DNA_REPLICATION	REACTOME_DNA_REPLICATION		128	0.68025255	1.7864983	0.0	0.0049502268	0.333	3413	tags=58%, list=18%, signal=70%	
GOBP_TRNA_5_END_PROCESSING	GOBP_TRNA_5_END_PROCESSING		15	0.7939169	1.7860788	0.0	0.004974133	0.337	2551	tags=80%, list=14%, signal=92%	
GOBP_CELL_CYCLE_DNA_REPLICATION	GOBP_CELL_CYCLE_DNA_REPLICATION		63	0.7064383	1.7851746	0.0	0.0050670463	0.346	2828	tags=56%, list=15%, signal=65%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM		112	0.6859778	1.7848369	0.0	0.005066112	0.351	3303	tags=60%, list=18%, signal=72%	
WP_DNA_MISMATCH_REPAIR	WP_DNA_MISMATCH_REPAIR		23	0.7601316	1.7842921	0.0	0.0051105376	0.358	2786	tags=74%, list=15%, signal=87%	
GNF2_SMC4L1	GNF2_SMC4L1		82	0.68638915	1.7841566	0.0	0.005053116	0.358	2934	tags=51%, list=16%, signal=60%	
GOMF_MRNA_METHYLTRANSFERASE_ACTIVITY	GOMF_MRNA_METHYLTRANSFERASE_ACTIVITY		12	0.8143121	1.7839843	0.0	0.0050080535	0.358	1929	tags=58%, list=10%, signal=65%	
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION	GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION		13	0.8187003	1.7817738	0.0	0.005150252	0.371	2339	tags=77%, list=12%, signal=88%	
GNF2_CENPE	GNF2_CENPE		39	0.7284007	1.7815317	0.0	0.0051159556	0.372	1786	tags=49%, list=9%, signal=54%	
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS		88	0.68819326	1.780674	0.0	0.005211054	0.384	3274	tags=59%, list=17%, signal=71%	
MODULE_50	MODULE_50		13	0.80484414	1.7804021	0.0	0.005229876	0.389	1585	tags=69%, list=8%, signal=76%	
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOPLASM	GOBP_PROTEIN_LOCALIZATION_TO_NUCLEOPLASM		14	0.7982993	1.7785299	0.0	0.005458233	0.404	2339	tags=79%, list=12%, signal=90%	
HP_OSTEOSARCOMA	HP_OSTEOSARCOMA		33	0.7366736	1.7784927	0.0	0.0054013766	0.404	2842	tags=67%, list=15%, signal=78%	
REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE		91	0.6880254	1.7777703	0.0	0.0054279165	0.408	3318	tags=56%, list=18%, signal=68%	
HP_STOMACH_CANCER	HP_STOMACH_CANCER		20	0.76781106	1.7775666	0.001010101	0.005403065	0.409	1101	tags=35%, list=6%, signal=37%	
GNF2_SMC1L1	GNF2_SMC1L1		26	0.7504881	1.7772001	0.0	0.005378704	0.411	2897	tags=62%, list=15%, signal=73%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		192	0.6658369	1.7769259	0.0	0.005374775	0.414	3413	tags=51%, list=18%, signal=62%	
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEAR_BODY	GOBP_PROTEIN_LOCALIZATION_TO_NUCLEAR_BODY		12	0.8193925	1.7767814	0.0	0.0053314273	0.415	3112	tags=92%, list=16%, signal=110%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION		273	0.6621745	1.776695	0.0	0.005318255	0.415	3574	tags=56%, list=19%, signal=69%	
GNF2_PA2G4	GNF2_PA2G4		76	0.692888	1.7754364	0.0	0.0054312134	0.429	2973	tags=55%, list=16%, signal=65%	
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME	REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME		70	0.69564235	1.7736477	0.0	0.0056187133	0.443	3069	tags=54%, list=16%, signal=65%	
GOBP_RNA_CAPPING	GOBP_RNA_CAPPING		32	0.7351856	1.7735023	0.0	0.0055841967	0.445	3154	tags=66%, list=17%, signal=79%	
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA	REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA		36	0.7280782	1.7722791	0.0	0.005606772	0.448	2946	tags=67%, list=16%, signal=79%	
BIOCARTA_NPC_PATHWAY	BIOCARTA_NPC_PATHWAY		11	0.8162888	1.7715636	0.0010341262	0.0056382334	0.452	2589	tags=64%, list=14%, signal=74%	
GNF2_PCNA	GNF2_PCNA		66	0.6978495	1.7712251	0.0	0.0056044906	0.453	3324	tags=56%, list=18%, signal=68%	
FINETTI_BREAST_CANCER_KINOME_RED	FINETTI_BREAST_CANCER_KINOME_RED		16	0.78752005	1.7703855	0.0	0.005607965	0.456	2579	tags=63%, list=14%, signal=72%	
HP_INTERMITTENT_DIARRHEA	HP_INTERMITTENT_DIARRHEA		17	0.77964365	1.7699865	0.0	0.0056295046	0.462	1013	tags=41%, list=5%, signal=43%	
GOBP_DOSAGE_COMPENSATION	GOBP_DOSAGE_COMPENSATION		15	0.7860972	1.7697197	0.0	0.0056416797	0.466	2716	tags=80%, list=14%, signal=93%	
GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION		17	0.7863022	1.7689685	0.0	0.0057248757	0.477	1886	tags=59%, list=10%, signal=65%	
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX		33	0.7360006	1.7684735	0.0	0.005744825	0.481	3069	tags=64%, list=16%, signal=76%	
GOMF_HISTONE_LYSINE_N_METHYLTRANSFERASE_ACTIVITY	GOMF_HISTONE_LYSINE_N_METHYLTRANSFERASE_ACTIVITY		40	0.7164605	1.7683477	0.0	0.005711931	0.481	2511	tags=48%, list=13%, signal=55%	
GOBP_RRNA_CATABOLIC_PROCESS	GOBP_RRNA_CATABOLIC_PROCESS		19	0.7733998	1.7683197	0.0	0.005670928	0.482	3125	tags=74%, list=17%, signal=88%	
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES		33	0.7365939	1.7681462	0.0	0.0056306385	0.483	2890	tags=67%, list=15%, signal=79%	
GOCC_RIBOSOMAL_SUBUNIT	GOCC_RIBOSOMAL_SUBUNIT		181	0.6626787	1.7674512	0.0	0.00565922	0.487	3633	tags=56%, list=19%, signal=69%	
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME		156	0.67095757	1.7674354	0.0	0.0056197136	0.488	3633	tags=59%, list=19%, signal=72%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION		120	0.67600596	1.7670375	0.0	0.00562277	0.489	3742	tags=62%, list=20%, signal=76%	
ZHONG_PFC_C3_UNKNOWN_INP	ZHONG_PFC_C3_UNKNOWN_INP		37	0.7246991	1.7662731	0.0	0.0057005524	0.498	3133	tags=59%, list=17%, signal=71%	
EGUCHI_CELL_CYCLE_RB1_TARGETS	EGUCHI_CELL_CYCLE_RB1_TARGETS		22	0.75878394	1.7644721	0.0	0.005925394	0.514	3133	tags=55%, list=17%, signal=65%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS		188	0.66481423	1.7642299	0.0	0.0059258705	0.518	3104	tags=49%, list=16%, signal=58%	
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S		60	0.69965667	1.7641919	0.0	0.0058857943	0.518	3742	tags=63%, list=20%, signal=79%	
GNF2_MCM4	GNF2_MCM4		53	0.7081486	1.7636724	0.0	0.005918731	0.523	3324	tags=58%, list=18%, signal=71%	
GNF2_MKI67	GNF2_MKI67		27	0.7381654	1.7635602	0.0	0.005871381	0.523	3324	tags=63%, list=18%, signal=76%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME	GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME		82	0.68795073	1.7635121	0.0	0.0058406135	0.524	2508	tags=46%, list=13%, signal=53%	
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY		24	0.7412539	1.7633693	0.0	0.005833881	0.528	2056	tags=63%, list=11%, signal=70%	
GOCC_MITOTIC_SPINDLE_MICROTUBULE	GOCC_MITOTIC_SPINDLE_MICROTUBULE		12	0.81044304	1.7633252	0.0	0.0057960935	0.528	1166	tags=50%, list=6%, signal=53%	
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT		58	0.6984913	1.7629491	0.0	0.0058207344	0.529	1515	tags=47%, list=8%, signal=50%	
