Gene Symbol	CRISPR score 
CAPN1	-0.19
ACPP	-0.80
MDH1	0.19
SLC30A9	-1.75
MTMR11	-0.16
COX15	-1.62
CCDC88C	-0.66
YAF2	-0.33
ZMYND11	-0.40
WAS	-0.23
DPEP1	-0.81
BID	-0.82
MATR3	-0.36
NPC1L1	-1.31
XYLT2	-1.22
RGPD5	-1.25
STMN4	-0.66
NUDCD3	-1.10
ISL1	-0.32
CHDH	-0.82
IL20RA	-0.13
CLCA1	-0.21
CLCA4	-0.21
GLT8D1	-0.85
ATP2C1	-1.14
SRCIN1	-0.70
IGF1	-0.06
SLC38A5	-0.71
MAGIX	-0.73
RALBP1	-0.88
RUFY3	0.19
CNTN1	0.11
SLC11A1	-0.94
WWTR1	-0.05
AGPS	-0.37
CXorf56	0.12
ATP1A2	-2.10
TTC27	-2.16
ZNF582	-0.26
VSIG2	0.11
PHLDB1	-0.03
MARCO	0.25
CYP24A1	-0.41
PRDM11	-0.41
SYT13	-0.44
SNAI2	-0.43
CD74	-0.26
HGF	-0.54
ZRANB1	0.30
NCDN	-1.71
GPR124	-0.47
ZFP64	0.38
MNAT1	-2.05
SAMD4A	-0.13
RUNX3	-0.10
MRE11A	-0.96
PLEKHB1	0.13
SERPINB1	-1.36
CYP3A43	-0.50
SLC7A9	-0.44
SPAST	-1.18
NRXN3	-0.04
OSBPL5	-0.60
AQR	-2.86
CPS1	0.28
C8B	-0.65
FHL1	0.12
RTFDC1	-2.03
GABRA1	-0.11
NLRP2	-1.02
SLC45A4	-0.71
RNF10	-0.19
ZNF839	-1.14
ZDHHC6	-0.34
GRAMD1B	-0.28
RNH1	-2.47
NDUFS1	-0.98
RB1CC1	-1.11
ERP44	-0.17
ALAS1	-0.77
BIRC3	0.26
AKAP11	0.02
GLRX2	-0.36
SNAPC1	-1.59
DERA	-0.30
STRAP	0.08
ABCC2	-1.00
DEF6	-0.72
PLEKHO1	-1.08
GCLM	-0.05
UBR2	-0.04
EHD2	-0.09
DEPDC1	0.16
CCDC28A	0.02
RRAGD	-0.37
HSF2	-0.62
PHF20	-1.32
HSD17B6	0.53
NR1H3	-0.14
TYMP	-0.53
NCAPH2	-1.59
TOMM34	-0.09
SEC63	-1.68
KPNA6	-0.58
VIM	-0.44
FAS	-0.61
RNASET2	0.33
CD44	0.51
KCNG1	0.15
AGPAT4	0.05
SLAMF7	-0.08
BTN3A1	-0.36
MIPEP	-1.99
PRKCH	-0.59
INSRR	-0.88
IFNGR1	0.36
B4GALT7	-1.15
SH2D2A	-1.00
VRK2	-0.50
TNFRSF1B	-0.28
VEZT	-1.14
POU2F2	-1.18
BRD9	-1.37
SNX1	-0.40
TBPL1	0.69
ARNTL2	-0.37
BCLAF1	-0.63
SLC39A9	-0.46
ANK1	-0.63
IBSP	0.25
TFB1M	-1.37
RABEP1	-0.54
HMGB3	-1.51
NUP160	-2.61
BAK1	0.44
MUSK	-0.49
IKZF2	-0.37
GRN	-0.79
FAM13B	-0.84
ARHGAP31	-0.29
CENPQ	-0.51
SARS	-1.94
RANBP3	-1.39
ARID4A	0.14
TSSC1	-1.54
PNPLA6	-1.22
IFT88	0.29
ALG1	-1.41
ABCF2	-0.01
CHPF2	-0.47
LRRC7	-0.29
FUT8	0.32
UBA6	-0.02
GAB2	-0.16
ATP6V0A1	-0.92
PIAS1	0.35
SLC4A7	-0.08
APBA2	-0.23
MAP2K3	-0.73
EFCAB1	0.09
TMSB10	-0.47
ASTE1	0.17
RNF19A	0.06
PEX3	-0.21
GABARAPL2	-0.08
MYOC	-0.75
SH3YL1	0.05
FAM136A	-0.58
VCL	-1.65
DEPDC1B	-0.55
DAPK2	-0.59
NSMAF	-0.21
ADSS	-0.22
STAP1	0.20
TIMP2	0.08
RFC1	-2.00
TBC1D23	-0.86
CUL3	-1.63
MYOM2	0.14
OTC	-0.06
CYP46A1	-0.51
ZZZ3	-1.97
SLC18A1	-0.55
USP2	-0.52
CASR	-0.75
TUBG2	-0.76
RPL26L1	-0.30
FLT4	-0.92
NSUN2	-0.42
FBXO42	2.13
MFAP3	-0.07
MRI1	-0.51
METTL1	-2.33
HOXC8	-0.11
AGA	-0.57
PI4K2B	-0.23
BOD1L1	-0.57
MAT2B	-0.28
TLL1	-0.90
EDC4	-1.54
TRIO	-0.89
VCAN	-0.76
CLEC16A	-0.88
MSR1	-0.24
CDH1	-0.92
SKIV2L2	-1.86
DNAH5	-0.16
ZFYVE16	-0.51
FAM65A	-0.35
C6	0.07
RAI14	-0.18
SOX30	-0.19
PNKP	-2.91
BEST2	-1.07
PHLPP2	-0.08
SPDL1	-0.62
STAU2	-0.69
PQLC2	-0.86
CTNS	-0.21
RTN4R	-0.60
PHF23	-2.18
CDH10	-0.55
INPP4A	-0.79
RAB27B	-0.32
PSMA4	-0.90
MYO16	-0.55
LSG1	-1.40
PARP3	-0.84
TNC	-1.39
THAP3	-0.40
FAM65C	-0.61
TDP1	-0.52
AIFM2	0.06
C2orf83	-1.13
SPATA7	0.16
MED17	-1.91
RETSAT	-0.27
CAPG	-0.15
AP2S1	-0.36
USH2A	-0.60
ZPBP	-0.83
TG	-0.38
ADAM28	-0.49
BARX2	-0.26
DCUN1D1	-0.29
ZIC2	-1.00
LCP2	-0.42
TRIT1	-1.02
ADRB1	-0.61
GUCA2B	-0.50
CUL7	-0.82
CTNNA1	-2.18
PHKA2	-0.34
CNTLN	-0.38
EPHA3	-0.60
HSPA5	-3.00
DSG2	0.31
GEMIN8	-1.70
OFD1	-0.29
GPM6B	-0.51
MAGEC2	-0.20
PREX2	-0.56
WDR37	-0.86
YTHDC2	0.12
CTPS2	-0.55
ATP6V1H	-2.15
POLR2B	-1.65
FAM214A	0.03
ARAP2	0.08
TPR	-1.34
CP	0.06
KIAA0556	-0.62
DTNBP1	-0.11
XK	-0.01
ANO2	-0.88
C12orf4	-0.14
SCML1	-0.25
WWC3	-0.85
ARHGAP6	0.10
FAM184B	-0.42
MAP4	-0.45
GOPC	-0.46
ROS1	-0.26
USP28	1.62
HDAC9	-0.48
TSPAN17	-0.03
NOP16	-2.36
CC2D2A	-0.17
RRM2B	-0.36
ZNF800	-0.05
TNFRSF17	-0.55
SNX29	-0.14
LMO3	-0.03
MRPS10	-1.15
GUCA1A	0.01
RSF1	0.06
VPS13D	-2.09
CELF2	-0.39
FAM120A	-0.46
R3HDM1	0.08
COL9A2	-0.32
KITLG	-0.31
ERCC8	-0.08
ADAMTS6	-0.34
H6PD	-0.62
VAMP3	0.23
PER3	-0.37
UTS2	-0.74
TNFRSF9	-0.71
EPN3	-1.44
LTBP1	-0.10
RCN1	-0.61
ELN	-1.09
RFC2	-2.46
ARID1B	-0.03
CLPTM1L	-0.99
NEDD4L	-0.67
FOXP3	-0.90
PPP1R3F	-0.93
HEXB	-0.11
PTCD2	-0.51
KIAA2022	-0.63
JKAMP	-0.06
DKK3	-0.33
ARHGEF5	-0.27
NFE2L3	0.44
MCUR1	-0.50
LIMA1	-0.23
LETMD1	-0.09
SLC4A8	-0.74
LAMC3	-0.61
PTGER3	-0.13
TNIP3	-0.45
MAPK9	0.00
COL23A1	-0.84
BCAR1	-0.84
FAM160A2	-0.81
HERPUD1	0.18
HOMER3	-0.32
RAD51	-1.81
POLQ	-0.75
PIK3CB	-0.20
CYBA	-0.27
THOC3	-2.00
HEBP2	-0.43
MPHOSPH9	-0.62
PLEKHA5	-0.56
PRSS8	-0.31
SIKE1	0.09
RRP12	-2.78
FNIP2	-0.57
MSMO1	-2.53
TTC17	-0.55
ALX4	-0.56
FSTL4	-0.24
FOXN3	-1.17
METTL24	0.64
AKR7A2	-0.27
MRTO4	-1.44
NNAT	-0.47
USE1	-1.58
MCF2L2	0.00
NRIP2	-0.34
LAMA3	-0.82
AP5M1	-0.17
ANAPC4	-2.99
KCNQ1	-0.39
TRAPPC3	-1.17
THRAP3	-1.14
PHPT1	-0.22
ENTPD2	-0.98
LY75	-0.08
ARID4B	-0.45
OPN3	-0.18
SDCCAG8	-0.47
PTPRN	0.32
HHAT	0.07
KIF1B	0.03
FOXC1	0.16
TBC1D22A	-0.27
SYNE2	-0.20
PLEKHH1	-0.92
ATP9A	-1.08
SPO11	-0.12
CBLN4	0.07
CHRDL2	-0.99
FAM168A	-1.37
RELT	-0.26
GALC	0.20
NOP58	-2.81
SZRD1	-1.54
KCNH2	-0.59
CUL1	-1.68
FAM114A2	0.01
TAB2	-0.33
GINM1	-0.24
EIF2AK2	-0.50
USP36	-2.73
KMT2C	-1.42
MCOLN3	-0.10
CCDC85A	-0.58
PUM2	-0.40
MRPL43	-1.53
ITIH4	-0.21
ITIH1	-0.48
C4orf27	-0.06
ZFR	-1.87
ZNF280C	0.40
NPFFR2	-0.06
PHF21B	-0.50
TRAF1	-0.59
RC3H2	-0.49
PCGF2	-0.91
IL17RB	-0.27
TRAF3IP2	0.24
GYG2	0.20
DCBLD2	-0.72
SERPINB3	0.36
SOAT1	-0.86
PKP2	0.02
MSH4	-0.44
F7	-0.07
GDI2	-0.11
PRDM1	-0.56
ATG5	-0.41
TMCC3	0.27
PITHD1	-0.24
MTA3	-1.45
USP13	-0.13
ATP11B	-0.59
LAMC2	-0.87
CDK14	0.29
SEC61A1	-2.61
PPP1R12A	-1.76
RASGRF1	0.15
CAMK2B	0.41
CROCC	-2.37
POLR3E	-2.69
ATP2B4	-0.88
ZC3H11A	-0.93
RIOK2	-1.78
YIPF1	0.19
NDC1	-0.69
DGKG	-0.72
FLYWCH1	-1.46
UNKL	-0.63
TBXAS1	0.26
PARP12	-0.44
ALDH18A1	-0.24
TARBP1	-0.60
PET112	-2.22
MXD1	-0.41
CDK17	0.25
DNAJC25	0.08
SLC2A3	-0.01
PSD	-0.38
CTDP1	-1.46
YBX3	-1.00
STYK1	0.38
WNK1	-0.12
CCAR1	-2.18
OGFR	-0.54
GNA15	-0.22
CREB3L3	-0.96
PIGV	-1.81
PTPRU	0.01
SNRNP40	-2.16
RIMBP2	-0.37
COL11A1	-0.36
QSER1	-0.28
MPC1	0.09
ACAA1	-0.36
BCAT1	-0.39
HDAC7	-0.56
LZTS1	-0.17
PRDM6	-0.84
WNT8A	-0.32
SPAG4	0.45
NCKAP1	-0.95
MRPS35	-2.15
GUCY1B3	0.27
SFSWAP	-1.75
TNK2	-0.96
MON2	-0.46
CDH3	-1.23
ARSF	-0.25
GPBP1	-1.01
DGAT2	-0.90
CS	-1.00
LTK	-0.48
MRPS24	-1.67
ELMO2	-0.56
WAPAL	-2.14
VMP1	-1.87
APPBP2	-0.06
POLD1	-1.91
SEZ6	-0.58
EIF4B	-1.67
SLC6A16	-0.17
GLTSCR1	-0.88
SPHK2	-0.63
RPL18	-2.19
CA11	-0.31
ISOC2	-0.64
U2AF2	-1.39
EPN1	-0.45
MED29	-0.67
AHRR	-0.81
GSC2	-0.90
MTMR1	-0.35
GPC1	-0.26
ADCK1	0.08
HAGH	-0.04
RNF4	-1.61
CASP8	-0.71
LIMCH1	-0.87
ASUN	-1.66
TM7SF3	-0.72
DLX3	0.19
SPA17	0.22
TSPAN32	-0.16
WISP2	-0.44
DMRT3	0.34
ST3GAL6	0.34
ATP2C2	-0.35
NGFR	0.30
CDON	-0.25
TAF2	-1.41
TNPO3	-1.44
RFXANK	-0.77
TMEM161A	-0.64
LPAR2	0.46
CTSA	-0.30
SUGP2	-0.53
SLC12A2	-0.76
SNX24	0.22
EYA2	-0.36
CNN2	-0.45
ABCA7	-1.02
SNCAIP	0.29
DDX20	-1.57
BTBD1	-0.21
FAR2	-0.49
BCAS1	-0.56
POU1F1	-0.34
CHI3L2	-1.34
SBNO2	-0.96
PMS1	-0.13
HMG20B	-0.55
CALCRL	-0.30
TAF11	-1.17
ANKS1A	-0.65
AP3D1	-1.52
ZNF76	-0.19
SLC9A3R2	0.35
NTHL1	0.55
UHRF1BP1	-0.32
GNAI3	-0.61
IPO5	-1.31
OAT	-0.12
WDR3	-2.38
PKN2	-0.50
WDR18	-2.25
TRAM2	-0.73
NTN1	-0.16
GLP2R	-0.91
MCM10	-1.72
DGKA	-0.70
ERBB3	-1.01
ROPN1	-0.08
ANKRD44	-0.23
KARS	-2.54
ADAT1	-0.19
PDIA5	-0.13
TBC1D22B	-0.56
NDUFB4	-1.19
SPEN	-1.05
MYLK	0.40
ZC3H15	0.96
MAP2K4	2.25
TMEM206	-0.74
SNAP91	-0.93
SLK	-1.36
CYB5R4	-1.02
COL17A1	-0.43
GSTO2	0.12
SEC61A2	-1.05
PRKCQ	0.02
TLE2	-0.06
ASB1	-1.28
FAM107B	-0.01
ME1	0.00
TBC1D1	-0.04
CDK13	-0.58
MTHFD2	0.47
SLC9A7	-0.88
FOXJ2	-0.44
YBX1	-1.24
PDE4A	-0.72
PPP2R5A	0.25
CTNNA2	0.66
ELAVL1	0.43
TIE1	-0.09
DIP2B	0.13
SMARCD1	-2.03
KDM4A	-1.77
NFYC	-0.99
ZMYND12	0.00
SLC9A3	-0.83
NGEF	-0.96
ASPM	-0.70
CD84	-0.19
ELOVL1	0.23
SPI1	-0.85
ZNRD1	-1.64
MPPED2	-0.38
CLDN18	-0.36
ZBTB11	-1.78
ATXN3	0.58
GOLGA5	-0.40
FGFR2	-1.41
LRRC40	-0.12
ISOC1	0.08
EML1	0.17
TRMT11	-0.90
THUMPD1	-0.53
MSANTD3	-0.41
KIF26A	0.02
ATG2B	-0.28
ARFGEF1	-0.37
ACSM2B	0.54
ZFAT	-1.78
MTFR1	-0.65
STAG3	-0.85
FECH	-0.97
MYO9A	0.06
DDX3Y	0.58
PFKP	-0.60
IDI1	-0.03
SP100	-0.17
KLF6	-0.69
PPAP2A	0.46
NEO1	-0.92
TRAM1	-0.09
PHKA1	-0.36
TNFRSF1A	-0.02
CACNB1	-1.57
EVI5	-0.92
STOML1	-0.08
PKM	-1.90
DHX29	-0.96
DNTTIP2	-1.43
METTL22	-0.68
TP53BP1	0.51
TRO	-0.77
RRP15	-1.29
RHOA	-0.20
DHX8	-1.02
PRKCZ	-0.80
ZFY	0.14
IARS2	-1.80
SYT1	0.05
NAV3	-0.43
IDH3G	-0.07
ROGDI	-0.84
PDZD4	0.27
ATP2B3	-0.97
ROCK1	1.43
CBFB	0.39
PDK3	0.30
HYAL2	0.23
HDAC4	-0.46
RASSF1	-0.17
FGFR3	-0.41
IFI35	-1.32
HEATR6	-0.41
COASY	-0.74
PLEKHH3	-0.03
MEF2A	-0.21
OTUD5	-1.18
TFE3	-0.34
TBC1D25	-0.60
ACSL4	-1.61
INPP5A	-0.37
GPKOW	-2.06
GRIPAP1	-1.52
FTSJ1	-0.77
PRR11	-0.09
REEP1	0.78
ATP11A	0.14
POLR1A	-2.47
LAPTM4A	0.20
TTC7A	-0.98
IP6K2	-0.53
STON1-GTF2A1L	-0.48
SRBD1	-2.61
CYFIP1	-0.70
KIF2A	-0.16
RASGRP2	-1.39
PSME4	-0.62
IFT80	0.60
SIRT2	-0.48
ERLEC1	-0.78
PPP2R5B	-1.48
PYGM	-1.02
PAGE1	0.21
PITX1	0.07
TRPC7	0.08
MAST4	-1.27
GPR116	-0.71
SDK2	-0.77
ADAM7	0.00
NUP133	-2.49
NUCKS1	0.46
VPS35	-0.89
DNAJA2	-1.39
BCL3	-0.17
KCNAB2	0.06
ABCC9	-0.33
GAL	-0.52
CLEC2D	-0.04
FUNDC1	-0.21
MAOB	-0.26
RORA	-0.10
DRD4	0.17
TGFBR3	-1.45
KIAA1107	-0.66
PLA2G10	-0.74
HES2	0.27
ATP1B3	-1.01
NEDD4	-0.85
MAPK6	-0.44
GNB5	-0.16
RAB27A	-0.03
CECR5	-0.43
UFD1L	-2.02
LRP6	-0.11
GUCY2C	0.58
SCT	-0.08
PHRF1	-0.81
IKBKAP	-2.46
NUCB2	-0.36
PFN2	-0.44
PTPN3	-0.03
SPTB	-1.34
DAPP1	-0.25
FGF10	-0.96
SLC44A1	-0.08
TMEM260	0.15
SMG6	-1.75
EXOC5	-0.97
CLTCL1	-1.26
FGF22	-0.86
FSTL3	-1.12
DGCR2	-0.91
RNF126	0.07
MNT	0.55
ZXDC	-0.30
JMJD6	-1.02
POLB	-0.19
ST6GALNAC1	-0.38
WIPI1	-0.20
FRMPD1	-0.89
GBA2	-0.37
NDST1	-1.71
ASNS	-0.44
AP3M2	-0.23
CNGB1	-0.98
ST6GALNAC2	-0.12
CHAT	-0.20
PABPC1	-1.37
TESK2	-0.38
C16orf80	-1.77
CSNK2A2	0.55
PTPN21	-1.26
EIF2B3	-1.49
CAMK2A	0.00
TCOF1	-1.50
CDC42	-1.07
OSBPL3	-0.41
EPHA8	-0.73
SLC12A3	-0.23
RAD18	-0.26
ATP2B1	-0.28
TRPM5	-1.44
NCK2	-0.55
MAP4K4	0.67
MGAT4A	-0.36
RPL31	-1.01
WDR1	-2.62
SNX13	-0.03
MS4A12	-0.31
ARHGAP10	-0.68
RPS6KA2	-0.52
ING3	-1.05
VASH1	-0.22
LMCD1	-0.04
WBSCR22	-1.25
SEL1L	-1.62
TRIP13	-1.67
ATP6AP1	-1.80
TCF3	-1.50
TRIB2	0.18
DAZAP1	-0.71
MBD3	-1.75
PRLH	-0.43
HLTF	-0.68
FAM50A	-2.39
FAM3A	-0.55
CPSF1	-2.27
MYO3B	-0.63
CYBRD1	-0.32
CDH19	-0.27
PDCD2	-1.57
SLC6A15	0.13
RDH11	-0.58
PRKACA	-0.46
LPHN1	-0.22
SPP2	0.06
ACTN1	0.49
ZFYVE26	-0.65
RPS6KA6	-0.44
EPN2	-0.14
PTPN18	-0.86
LIMS2	-0.28
ASIC4	-0.23
SPEG	-0.64
LNX1	0.16
ALDH3A2	0.03
TFRC	-0.26
SREBF1	-0.30
TRPC5	-0.21
AFF4	0.02
UBE2D1	0.17
MPP5	-0.13
RHOBTB1	-0.53
SMC1A	-1.68
HSD17B10	-1.55
MARK2	-0.35
HMMR	-0.35
CHFR	-0.66
TRHDE	-0.30
P4HA2	0.53
FCGR2B	0.51
NFATC3	-0.29
TRNT1	-1.66
ACADVL	-1.20
STK10	-0.34
FBXW11	-0.54
ACAP1	-1.09
CRMP1	-0.86
EVC	-0.27
DERL2	-1.12
SIDT1	-0.40
NDE1	-0.61
MRVI1	-0.24
TMEM38A	-0.10
AP1M1	-0.68
PVR	-0.05
IKBKG	-0.72
XRCC1	-1.47
SCARB1	-0.39
CYP2W1	-0.71
MCM2	-2.30
MOV10L1	0.22
PANX2	-0.71
SELO	-0.66
TP63	0.19
ALPK1	-0.75
LLGL2	-0.41
PDE8A	-0.30
CLCN4	-0.93
NLE1	-0.81
SDHA	-1.27
SMARCE1	-1.59
FNDC8	-0.48
GSDMB	-0.87
KDM5A	-0.36
ADAM11	-0.21
PPP2R3A	0.12
FERMT2	-2.04
ABCB11	-0.08
DHRS9	-0.12
CD5L	-0.05
PTGS2	0.27
IGF2BP2	-0.46
MAP3K13	-1.03
ST6GAL1	-0.01
TBX21	-0.70
FRY	-0.23
PICALM	0.36
NSF	-1.58
GLI2	-0.36
MRPS34	-1.83
NOTCH3	-0.20
CLNS1A	-1.81
PPP2R2C	-0.08
TEAD2	-1.23
EED	-0.91
CDHR2	-0.50
SNCB	-0.44
TSG101	-1.26
C17orf85	-1.48
ATP2A3	-0.44
CA12	-0.57
MGLL	-0.08
NTN4	-0.47
BCS1L	-1.59
NUAK1	-0.28
DPP8	-0.69
SLC24A1	-0.80
ZNF532	0.12
SCARF1	-0.38
LMAN1	0.34
PTPLAD1	-0.23
IPCEF1	-0.34
ZZEF1	-0.38
NOX3	-0.91
ENO1	-2.01
SLC12A1	-0.58
C19orf10	-0.11
ANO8	-0.72
TUBE1	-1.86
ARHGEF10L	-0.32
TXK	-0.04
WSCD2	-0.94
KCNQ2	-0.67
TACR2	-0.66
ACTR6	-1.50
TIPIN	-0.98
SRI	-0.31
EIF4G3	-0.35
NUP37	-1.20
SEMA3A	-0.24
GTSE1	-0.64
SEMA3C	-0.20
TTC38	-0.41
ACAT1	0.39
GRAMD4	-0.73
CELSR1	-0.39
WNT8B	-1.25
ZNF638	-0.60
SLC25A40	-0.10
TIMM21	-0.26
ADD2	-1.61
FGF4	-0.30
RASAL2	0.34
VPS9D1	-0.80
ZNF37A	-0.39
MARK3	-0.76
SLC25A3	-1.06
FNDC3B	-0.77
FOSL2	-0.06
CACNG5	-0.09
CACNG4	-0.63
FRYL	-1.29
TMEM131	-1.05
FSCN1	-0.46
ACTB	-1.77
MOCOS	-1.04
PLD1	0.30
ATP12A	-0.57
WDR62	-1.54
DLG1	-0.60
RAB7A	-1.13
BCAP29	-0.59
SEC31B	0.02
