Gene,Annot,IPSC_1_inh,IPSC_2_inh,K562_1_inh,K562_2_inh,IPSC_AV_inh,K562_Av_inh,IPSC_Av_Cut,K562_Av_cut,iPSC_1_cut,iPSC_2_cut,chr,strand.y,Count,tss_id,tss_start,start,TSS_distance,Unique,chr_type,distance,bidirectional,distance_to_neighbour_TSS,max_off_target,crispr_off_target
ATAD3A,Other,-1.048134,-0.9468088,-0.6105455,-0.7305591,-0.9974714,-0.6705523,0.783795,0.70629615,0.6646844,0.9029056,1,+,1,hg_119.1,1512161,1512207.33333333,46.3333333333333,Unique,Autosomal,close,NA,28462,1,specific
TMEM240,Other,-1.808756,-1.635182,-0.9689151,-0.8646541,-1.721969,-0.9167846,-0.38123725,-0.1260788765,-0.5778944,-0.1845801,1,-,1,hg_9793.1,1540623,1540571.66666667,51.3333333333333,Unique,Autosomal,close,NA,28462,1,specific
SSU72,CEG,-1.231662,-1.21194,-0.2113838,0.006227822,-1.221801,-0.102577989,-1.4077125,-0.75559575,-1.605312,-1.210113,1,-,1,hg_9804.1,1574862,1574815.66666667,46.3333333333333,Unique,Autosomal,close,NA,34239,1,specific
MIB2,Other,-1.653948,-1.612647,-0.4953687,0.120381,-1.6332975,-0.18749385,0.54483095,0.4005477,0.5721354,0.5175265,1,+,1,hg_130.1,1628993,1615899,13094,Unique,Autosomal,far,NA,3181,1,specific
MMP23B,Other,-0.1529568,-0.1137244,-0.1662892,-0.4160979,-0.1333406,-0.29119355,0.0862232,0.0498764,-0.1087991,0.2812455,1,+,1,hg_141.1,1632174,1632212.33333333,38.3333333333333,Unique,Autosomal,close,NA,3181,2,non-specific
CDK11B,Other,-4.270694,-4.195662,-0.495172,-0.1765007,-4.233178,-0.33583635,-0.7794071,-0.16785088,-0.9729487,-0.5858655,1,-,1,hg_9813.1,1658971,1658925,46,Unique,Autosomal,close,NA,26797,2,non-specific
CDK11A,Other,0.1380211,0.1336845,-0.4450178,-0.1698892,0.1358528,-0.3074535,0.68025465,0.3062363,0.6411929,0.7193164,1,-,1,hg_9818.1,1724333,1724264,69,Unique,Autosomal,close,NA,21736,2,non-specific
SLC35E2B,Other,0.1148163,0.07395634,-0.1594996,0.5754937,0.09438632,0.20799705,0.4595077,0.42405995,0.4824879,0.4365275,1,-,1,hg_9820.1,1746069,1746059.33333333,9.66666666666667,Unique,Autosomal,close,NA,21736,2,non-specific
NADK,Other,-1.143749,-1.126194,0.6431421,-0.1316446,-1.1349715,0.25574875,0.31330935,0.24364235,0.3203912,0.3062275,1,-,1,hg_9825.1,1778448,1778402.33333333,45.6666666666667,Unique,Autosomal,close,NA,32379,1,specific
GNB1,Other,-3.01103,-2.807549,-0.2718585,-0.31313,-2.9092895,-0.29249425,-0.44079475,0.02429135,-0.5673531,-0.3142364,1,-,1,hg_9855.1,1891069,1891024.33333333,44.6666666666667,Unique,Autosomal,close,NA,24015,1,specific
CALML6,Other,-0.1866553,-0.05291309,-0.382109,-0.4141107,-0.119784195,-0.39810985,0.0920575945,0.21708245,0.009375189,0.17474,1,+,1,hg_149.1,1915084,1915710.66666667,626.666666666667,Unique,Autosomal,close,NA,4194,1,specific
TMEM52,Other,0.1748557,0.09736141,-0.4654493,0.1069871,0.136108555,-0.1792311,0.09004891,0.3152157,0.05200972,0.1280881,1,-,1,hg_9858.1,1919278,1919225,53,Unique,Autosomal,close,NA,4194,1,specific
CFAP74,Other,-1.059986,-0.9944201,-0.4002383,-1.020713,-1.02720305,-0.71047565,-0.35230245,-0.3080524415,-0.2826727,-0.4219322,1,-,1,hg_9860.1,1960103,2003729.33333333,43626.3333333333,Unique,Autosomal,far,NA,40825,1,specific
GABRD,Other,0.08265883,0.1051692,0.5801115,-0.00659858,0.093914015,0.28675646,-0.10094732,0.0855873785,-0.2345587,0.03266406,1,+,1,hg_162.1,2019359,2019384.33333333,25.3333333333333,Unique,Autosomal,close,NA,31115,1,specific
PRKCZ,Other,0.2229553,0.2068958,0.1636503,0.2797269,0.21492555,0.2216886,-0.07851718,-0.03946479,-0.2073571,0.05032274,1,+,1,hg_165.1,2050474,2073700.66666667,23226.6666666667,Unique,Autosomal,far,NA,31115,1,specific
SKI,Other,-0.01762149,-0.0469698,-0.2658611,-0.0188672,-0.032295645,-0.14236415,-0.15158301,-0.11437248,-0.2831353,-0.02003072,1,+,1,hg_208.1,2303294,2303332.33333333,38.3333333333333,Unique,Autosomal,close,NA,88259,1,specific
MORN1,Other,-1.441557,-1.012536,0.475668,0.06688971,-1.2270465,0.271278855,0.47760735,0.3696413,0.4961694,0.4590453,1,-,1,hg_9896.1,2391553,2391498.33333333,54.6666666666667,Unique,Autosomal,close,<1000,288,1,specific
RER1,Other,-3.34534,-3.80572,-2.385849,-2.856726,-3.57553,-2.6212875,-0.5059519,-0.22155969,-0.7234809,-0.2884229,1,+,1,hg_216.1,2391841,2391900.66666667,59.6666666666667,Unique,Autosomal,close,<1000,288,1,specific
PEX10,Other,-1.090587,-1.605775,-0.1217992,-0.6852826,-1.348181,-0.4035409,0.6181969,0.5238881,0.607726,0.6286678,1,-,1,hg_9899.1,2412542,2412463.66666667,78.3333333333333,Unique,Autosomal,close,NA,20701,1,specific
PLCH2,Other,-0.1073517,0.1395778,0.1489118,0.01005449,0.01611305,0.079483145,-0.138671425,0.15842476,-0.3545074,0.07716455,1,+,1,hg_228.1,2467459,2467506,47,Unique,Autosomal,close,NA,54917,1,specific
PANK4,Other,-1.274481,-0.9887493,-0.2655953,0.01154161,-1.13161515,-0.127026845,-0.087317515,-0.26742525,-0.02078653,-0.1538485,1,-,1,hg_9904.1,2526595,2526559,36,Unique,Autosomal,close,NA,3141,1,specific
HES5,Other,-1.101411,-0.5108799,0.1866601,0.4032206,-0.80614545,0.29494035,0.2784103,0.4372878,0.1861065,0.3707141,1,-,1,hg_9910.1,2529736,2530176.33333333,440.333333333333,Unique,Autosomal,close,NA,3141,1,specific
TNFRSF14,Other,0.2887324,0.1012008,0.07476855,-0.1765427,0.1949666,-0.050887075,0.5111581,0.063999,0.4185078,0.6038084,1,+,1,hg_238.1,2555800,2556595.66666667,795.666666666667,Unique,Autosomal,close,NA,26064,1,specific
FAM213B,Other,-3.361345,-3.460585,-1.679609,-1.866217,-3.410965,-1.772913,-0.175270055,-0.071152495,-0.2521331,-0.09840701,1,+,1,hg_267.1,2587088,2586829.33333333,258.666666666667,Unique,Autosomal,close,NA,5756,1,specific
MMEL1,Other,-0.1666062,-0.02987655,0.0331371,0.2203484,-0.098241375,0.12674275,8.08749999999997e-4,-0.18125045,0.1342226,-0.1326051,1,-,1,hg_9925.1,2592844,2592834.33333333,20.3333333333333,Unique,Autosomal,close,NA,5756,1,specific
ACTRT2,Other,0.707289517333333,0.678820745666667,0.481758719333333,0.500351989666667,0.6930551315,0.4910553545,0.47647975,0.45097255,0.4652306,0.4877289,1,+,1,hg_272.1,3021466,3021535,69,Unique,Autosomal,close,NA,47577,1,specific
PRDM16,Other,0.1643893,0.2118016,0.3148172,-0.216904,0.18809545,0.0489566,0.1027225,0.18315525,0.1002238,0.1052212,1,+,1,hg_274.1,3069043,3069239.33333333,196.333333333333,Unique,Autosomal,close,NA,47577,1,specific
ARHGEF16,Other,-1.69828885033333,-1.82453912033333,-1.49269121466667,-1.27576564866667,-1.76141398533333,-1.38422843166667,-0.47389465,-0.22305047,-0.4000233,-0.547766,1,+,1,hg_290.1,3454664,3454711.33333333,47.3333333333333,Unique,Autosomal,close,NA,156831,1,specific
MEGF6,Other,-0.037034160000000003,-0.4373031,0.3921949,0.2565798,-0.23716863,0.32438735,-0.54360365,-0.10991195,-0.5665885,-0.5206188,1,-,1,hg_9948.1,3611495,3531352.33333333,80142.6666666667,Unique,Autosomal,far,NA,13538,1,specific
TPRG1L,Other,-1.461458,-1.562588,-0.3688594,-0.1171522,-1.512023,-0.2430058,0.1868524,0.19755735,0.1875154,0.1861894,1,+,1,hg_300.1,3625033,3625079.33333333,46.3333333333333,Unique,Autosomal,close,NA,13538,1,specific
WRAP73,Other,0.01489965,0.1618995,-0.965199,-0.7955878,0.088399575,-0.8803934,0.11831565,-0.330159,0.1240736,0.1125577,1,-,1,hg_9952.1,3650102,3650031.66666667,70.3333333333333,Unique,Autosomal,close,NA,2209,1,specific
TP73,Other,0.1713424,0.2578119,0.03322383,0.2730544,0.21457715,0.153139115,0.62715525,0.4784618,0.5997069,0.6546036,1,+,1,hg_301.1,3652311,3652543.33333333,232.333333333333,Unique,Autosomal,close,NA,2209,1,specific
CCDC27,Other,0.1670306,0.3766454,0.234422,0.06387801,0.271838,0.149150005,-0.233797,-0.22519205,-0.1190194,-0.3485746,1,+,1,hg_323.1,3752408,3752479.33333333,71.3333333333333,Unique,Autosomal,close,NA,20340,1,specific
SMIM1,Other,-0.8861002,-0.68500779999999994,-0.431506,-0.4845491,-0.785554,-0.45802755,-0.4144273,-0.140723305,-0.5490499,-0.2798047,1,+,1,hg_326.1,3772748,3772692.33333333,55.6666666666667,Unique,Autosomal,close,NA,20340,1,specific
LRRC47,Other,0.1713556,0.18662,0.05917949,0.2129773,0.1789878,0.136078395,0.195232925,0.3123423,0.01479185,0.375674,1,-,1,hg_9964.1,3796493,3796426.66666667,66.3333333333333,Unique,Autosomal,close,NA,23745,1,specific
CEP104,Other,0.02155542,0.03047067,-0.004695799,-0.05756926,0.026013045,-0.0311325295,0.81284775,0.17945265,0.829029,0.7966665,1,-,1,hg_9965.1,3857210,3857108.66666667,101.333333333333,Unique,Autosomal,close,<1000,265,1,specific
DFFB,Other,0.1206106,0.1857838,0.0422574,-0.3371063,0.1531972,-0.14742445,-0.25659575,-0.069926435,-0.3381693,-0.1750222,1,+,1,hg_329.1,3857475,3857517.33333333,42.3333333333333,Unique,Autosomal,close,<1000,265,1,specific
C1orf174,Other,0.1309194,0.11512,-0.01557793,0.3035729,0.1230197,0.143997485,0.9358369,0.33539975,0.8693148,1.002359,1,-,1,hg_9967.1,3900257,3900207.33333333,49.6666666666667,Unique,Autosomal,close,NA,42782,1,specific
AJAP1,Other,-1.331338932,-1.687294401,-0.811740953,-0.670666408666667,-1.5093166665,-0.741203680833334,0.8404178,0.071239535,0.7400833,0.9407523,1,+,1,hg_336.1,4654608,4654623.33333333,15.3333333333333,Unique,Autosomal,close,NA,754351,1,specific
NPHP4,Other,-2.603591,-2.008877,-0.4207641,-0.8292692,-2.306234,-0.62501665,0.3442115,0.18370435,0.2978695,0.3905535,1,-,1,hg_9974.1,5992424,5992191.66666667,232.333333333333,Unique,Autosomal,close,<1000,282,1,specific
KCNAB2,Other,0.09112564,-0.01066018,0.04975696,0.03266611,0.04023273,0.041211535,0.44256325,0.1715732,0.4221723,0.4629542,1,+,1,hg_347.1,5992706,6026377.33333333,33671.3333333333,Unique,Autosomal,far,<1000,282,1,specific
CHD5,Other,-0.4610018,-0.4609155,-0.7917201,-0.4546514,-0.46095865,-0.62318575,0.8346062,0.3097639,0.8988711,0.7703413,1,-,1,hg_9988.1,6180310,6180264.66666667,45.3333333333333,Unique,Autosomal,close,NA,19283,1,specific
RPL22,Other,0.3148647,0.5256066,-0.2436572,0.1757714,0.42023565,-0.0339429,-0.91289575,-1.0909086,-1.15569,-0.6701015,1,-,1,hg_9990.1,6199593,6199540.66666667,52.3333333333333,Unique,Autosomal,close,NA,6525,6,non-specific
RNF207,Other,-0.03131697,0.1438163,-0.2485584,-0.04472193,0.056249665,-0.146640165,0.39658535,0.119587655,0.4566259,0.3365448,1,+,1,hg_363.1,6206118,6206160.33333333,42.3333333333333,Unique,Autosomal,close,NA,6525,1,specific
ICMT,Other,-1.965532,-2.048641,-1.396055,-1.007242,-2.0070865,-1.2016485,0.4544391,0.2888173,0.4193865,0.4894917,1,-,1,hg_10004.1,6235963,6235901.66666667,61.3333333333333,Unique,Autosomal,close,NA,8215,1,specific
HES3,Other,-0.03025635,0.1060958,-0.472698,0.2660716,0.037919725,-0.1033132,0.33291505,0.1615206,0.2296978,0.4361323,1,+,1,hg_367.1,6244178,6244223.33333333,45.3333333333333,Unique,Autosomal,close,NA,8215,1,specific
GPR153,Other,-0.101628,-0.04090028,0.01739731,-0.5064868,-0.07126414,-0.244544745,0.1779121,0.158215015,-0.1704407,0.5262649,1,-,1,hg_10006.1,6261097,6261039.66666667,57.3333333333333,Unique,Autosomal,close,NA,16919,1,specific
ACOT7,Other,-0.287732031333333,0.093201064,-0.167872024666667,-0.117704572666667,-0.0972654836666665,-0.142788298666667,0.3574905,0.2951178,0.3705582,0.3444228,1,-,1,hg_10028.1,6393376,6393310.33333333,65.6666666666667,Unique,Autosomal,close,NA,26542,1,specific
HES2,Other,-0.1813494,0.2608558,-0.06487417,-0.6733893,0.0397532,-0.369131735,-0.48301975,-0.27053365,-0.5057762,-0.4602633,1,-,1,hg_10035.1,6419918,6419860.33333333,57.6666666666667,Unique,Autosomal,close,NA,26542,1,specific
ESPN,Other,-1.808189,-1.806263,-0.6006125,0.2540876,-1.807226,-0.17326245,-0.4056564,-0.49314575,-0.4798004,-0.3315124,1,+,1,hg_385.1,6448054,6424800.66666667,23253.3333333333,Unique,Autosomal,far,NA,18097,3,non-specific
TNFRSF25,Other,-3.698754,-3.945731,-1.227643,-2.351173,-3.8222425,-1.789408,0.4566966,0.18183071,0.4914442,0.421949,1,-,1,hg_10037.1,6466151,6466031.66666667,119.333333333333,Unique,Autosomal,close,NA,18097,1,specific
PLEKHG5,Other,-3.558964,-2.576936,0.1083472,-0.3346965,-3.06795,-0.11317465,-0.154196455,0.5355842,-0.2467321,-0.06166081,1,-,1,hg_10052.1,6497423,6497376.33333333,46.6666666666667,Unique,Autosomal,close,NA,31272,1,specific
NOL9,CEG,-3.432262,-3.967334,-1.815622,-1.7462,-3.699798,-1.780911,-1.08209655,-0.7936905,-1.442751,-0.7214421,1,-,1,hg_10056.1,6554512,6554461.33333333,50.6666666666667,Unique,Autosomal,close,<1000,794,1,specific
TAS1R1,Other,-0.2051515,0.03987772,0.2073545,0.02355945,-0.08263689,0.115456975,0.2997569,0.1894433,0.4091593,0.1903545,1,+,1,hg_400.1,6555306,6555479,173,Unique,Autosomal,close,<1000,794,1,specific
ZBTB48,Other,0.1232049,-0.08926736,-0.05636494,0.0398063,0.01696877,-0.00827932,0.42288085,0.3497715,0.4264101,0.4193516,1,+,1,hg_403.1,6579995,6580028.33333333,33.3333333333333,Unique,Autosomal,close,NA,22873,1,specific
KLHL21,Other,-0.07831207,-0.2167544,0.06932049,0.1379743,-0.147533235,0.103647395,0.78640145,0.42998135,0.7087744,0.8640285,1,-,1,hg_10060.1,6602868,6602823,45,Unique,Autosomal,close,NA,10862,1,specific
PHF13,Other,-1.165899,-0.9477504,0.3242809,0.1766347,-1.0568247,0.2504578,-0.2124801,0.032029278,-0.2385883,-0.1863719,1,+,1,hg_408.1,6613730,6613756.33333333,26.3333333333333,Unique,Autosomal,close,NA,10862,1,specific
THAP3,Other,-0.1308629,0.06666137,0.3082245,0.1088869,-0.032100765,0.2085557,-0.35022565,-0.05262499,-0.3753616,-0.3250897,1,+,1,hg_413.1,6625200,6625245,45,Unique,Autosomal,close,NA,11470,1,specific
DNAJC11,Other,-3.728185,-3.338499,-2.054621,-1.395677,-3.533342,-1.725149,-0.49762125,-0.71206275,-0.5838203,-0.4114222,1,-,1,hg_10067.1,6701805,6701747,58,Unique,Autosomal,close,NA,76605,1,specific
CAMTA1,Other,-0.4498696,-0.1602794,-0.558037,-0.4209696,-0.3050745,-0.4895033,0.2490955,0.23707511,0.173748,0.324443,1,+,1,hg_415.1,6785453,6785503.33333333,50.3333333333333,Unique,Autosomal,close,NA,83648,1,specific
VAMP3,Other,-0.09065826,0.05733539,-0.1849253,-0.01224107,-0.016661435,-0.098583185,-0.2750263,-0.0532353,-0.2160478,-0.3340048,1,+,1,hg_437.1,7771295,7771328,33,Unique,Autosomal,close,NA,12999,1,specific
PER3,Other,0.1412605,0.2166866,0.5274357,-0.2228075,0.17897355,0.1523141,1.06024,0.2561903,1.080983,1.039497,1,+,1,hg_440.1,7784294,7784303.66666667,9.66666666666667,Unique,Autosomal,close,NA,12999,1,specific
UTS2,Other,-0.8484366,-0.8529749,0.2172589,-0.5345057,-0.85070575,-0.1586234,0.44955305,0.107608045,0.4383968,0.4607093,1,-,1,hg_10078.1,7853032,7913169,60137,Unique,Autosomal,far,NA,68738,1,specific
TNFRSF9,Other,-0.2785533,-0.008827486,0.3600357,0.5671381,-0.143690393,0.4635869,0.13474949,-0.35071935,0.1804868,0.08901218,1,-,1,hg_10082.1,7940836,7940788,48,Unique,Autosomal,close,NA,20874,1,specific
PARK7,Other,-0.3347154,-0.2951894,-0.3481686,0.2067284,-0.3149524,-0.0707201,0.0221629125,0.211636049,0.03442752,0.009898305,1,+,1,hg_453.1,7961710,7961755.33333333,45.3333333333333,Unique,Autosomal,close,NA,20874,1,specific
ERRFI1,Other,0.1052962,-0.1226462,0.5628873,0.1536657,-0.008675,0.3582765,-0.17020745,0.227489165,-0.1273157,-0.2130992,1,-,1,hg_10097.1,8026308,8026255,53,Unique,Autosomal,close,NA,64598,1,specific
SLC45A1,Other,-0.8643657,-0.953467,-0.2222204,-0.2478464,-0.90891635,-0.2350334,0.29458555,0.33424885,0.3363178,0.2528533,1,+,1,hg_466.1,8318113,8318149,36,Unique,Autosomal,close,NA,291805,1,specific
RERE,Other,-2.285932,-1.9220410000000001,0.2720048,0.2023158,-2.1039865,0.2371603,0.50749555,0.2264223,0.4964747,0.5185164,1,-,1,hg_10149.1,8817639,8817565,74,Unique,Autosomal,close,NA,61046,1,specific
ENO1,Other,-4.2856,-4.224116,-1.224773,-1.73445,-4.254858,-1.4796115,-0.6193028,-1.1429986,-0.3446245,-0.8939811,1,-,1,hg_10173.1,8878685,8878620.66666667,64.3333333333333,Unique,Autosomal,close,NA,61046,2,non-specific
CA6,Other,-0.01166851,-0.1163775,-0.1808324,0.002411297,-0.064023005,-0.0892105515,-0.1676453,-0.07618204,-0.2248606,-0.11043,1,+,1,hg_475.1,8945867,8945913.66666667,46.6666666666667,Unique,Autosomal,close,NA,67182,1,specific
SLC2A7,NEG,-0.02272667,-0.01186536,-0.299239,-0.05927996,-0.017296015,-0.17925948,-0.33524515,-0.2417334,-0.1380342,-0.5324561,1,-,1,hg_10187.1,9026422,9026370.33333333,51.6666666666667,Unique,Autosomal,close,NA,42887,1,specific
SLC2A5,Other,-1.553121,-1.241005,-0.1914507,-0.1933981,-1.397063,-0.1924244,0.14617372,0.01748875,0.3464509,-0.05410346,1,-,1,hg_10188.1,9069309,9069570,261,Unique,Autosomal,close,NA,42887,1,specific
GPR157,Other,0.1247588,0.3465483,0.1516015,-0.140762,0.23565355,0.00541975,0.253827,0.02154485,0.2363636,0.2712904,1,-,1,hg_10205.1,9129101,9129051,50,Unique,Autosomal,close,NA,59792,1,specific
H6PD,Other,-1.244,-1.543436,0.1666735,-0.6753725,-1.393718,-0.2543495,-0.3412017,-0.23273295,-0.143639,-0.5387644,1,+,1,hg_500.1,9234773,9234810.66666667,37.6666666666667,Unique,Autosomal,close,NA,58120,1,specific
SPSB1,Other,-0.1650905,-0.1783241,-0.1663534,0.1047521,-0.1717073,-0.03080065,0.01199751,0.2839937,-0.02090365,0.04489867,1,+,1,hg_514.1,9292893,9292930.33333333,37.3333333333333,Unique,Autosomal,close,NA,58120,1,specific
SLC25A33,Other,-1.512121,-1.164638,-0.1630304,-0.2811221,-1.3383795,-0.22207625,-0.5219681,-0.3624499,-0.4294013,-0.6145349,1,+,1,hg_518.1,9539464,9539507.33333333,43.3333333333333,Unique,Autosomal,close,NA,49446,2,non-specific
