tss_id	gene_name	gene_count	chr	peak_start	peak_end	peak_score	strand	tss_start	tss_end	median_cpm	cpm_rank	cpm_max	canonical_rank
hg_111518.1	ABLIM1	1	10	114768481	114768521	2045	-	114768507	114768508	0	28	16.2711991343921	11
hg_111519.1	ABLIM1	1	10	114768545	114768580	683	-	114768567	114768568	0	29	16.2711991343921	22
hg_111521.1	ABLIM1	1	10	114768756	114768804	354	-	114768802	114768803	0	30	16.2711991343921	26
hg_224489.1	ABLIM1	1	10	114575529	114575539	120	-	114575534	114575535	0	31	16.2711991343921	28
hg_224490.1	ABLIM1	1	10	114658263	114658266	18	-	114658264	114658265	0	32	16.2711991343921	32
hg_171928.1	ACAA2	1	18	49813868	49813925	55264	-	49813899	49813900	37.7436150695354	1	37.7436150695354	3
hg_171924.1	ACAA2	1	18	49813512	49813540	241018	-	49813522	49813523	36.7665148437954	2	37.7436150695354	1
hg_171925.1	ACAA2	1	18	49813541	49813579	94021	-	49813569	49813570	13.6502443861516	3	37.7436150695354	2
hg_171929.1	ACAA2	1	18	49813927	49813965	23099	-	49813936	49813937	6.90527147370627	4	37.7436150695354	4
hg_171932.1	ACAA2	1	18	49814281	49814344	16425	-	49814305	49814306	2.79568318679078	5	37.7436150695354	5
hg_171930.1	ACAA2	1	18	49814117	49814144	7608	-	49814137	49814138	1.71532259047646	6	37.7436150695354	7
hg_171927.1	ACAA2	1	18	49813830	49813865	13379	-	49813840	49813841	1.02941195692564	7	37.7436150695354	6
hg_171926.1	ACAA2	1	18	49813580	49813582	4402	-	49813581	49813582	0.684825398992588	8	37.7436150695354	8
hg_171931.1	ACAA2	1	18	49814253	49814277	2308	-	49814265	49814266	0.169555899188845	9	37.7436150695354	9
hg_127938.1	ACACB	1	12	109154672	109154696	17215	+	109154678	109154679	2.15170392716976	1	2.15170392716976	3
hg_127936.1	ACACB	1	12	109154635	109154654	3181	+	109154648	109154649	0.9033088165407	2	2.15170392716976	4
hg_127937.1	ACACB	1	12	109154662	109154671	918	+	109154666	109154667	0.356823580612682	3	2.15170392716976	11
hg_127924.1	ACACB	1	12	109116417	109116428	417	+	109116422	109116423	0	4	2.15170392716976	15
hg_127925.1	ACACB	1	12	109116436	109116450	1213	+	109116442	109116443	0	5	2.15170392716976	10
hg_127926.1	ACACB	1	12	109116483	109116490	143	+	109116486	109116487	0	6	2.15170392716976	20
hg_127927.1	ACACB	1	12	109116559	109116575	1429	+	109116564	109116565	0	7	2.15170392716976	8
hg_127928.1	ACACB	1	12	109116581	109116597	2557	+	109116586	109116587	0	8	2.15170392716976	6
hg_127929.1	ACACB	1	12	109116603	109116614	484	+	109116608	109116609	0	9	2.15170392716976	13
hg_127930.1	ACACB	1	12	109131167	109131183	1267	+	109131173	109131174	0	10	2.15170392716976	9
hg_127931.1	ACACB	1	12	109131334	109131343	2639	+	109131338	109131339	0	11	2.15170392716976	5
hg_127932.1	ACACB	1	12	109131350	109131367	48258	+	109131360	109131361	0	12	2.15170392716976	1
hg_127933.1	ACACB	1	12	109131377	109131395	18480	+	109131388	109131389	0	13	2.15170392716976	2
hg_127934.1	ACACB	1	12	109139474	109139484	429	+	109139476	109139477	0	14	2.15170392716976	14
hg_127935.1	ACACB	1	12	109139571	109139599	263	+	109139596	109139597	0	15	2.15170392716976	17
hg_127939.1	ACACB	1	12	109154697	109154712	2107	+	109154706	109154707	0	16	2.15170392716976	7
hg_127943.1	ACACB	1	12	109227386	109227388	612	+	109227387	109227388	0	17	2.15170392716976	12
hg_127944.1	ACACB	1	12	109228784	109228795	210	+	109228789	109228790	0	18	2.15170392716976	18
hg_127945.1	ACACB	1	12	109266739	109266744	95	+	109266740	109266741	0	19	2.15170392716976	21
hg_127946.1	ACACB	1	12	109266921	109266924	328	+	109266923	109266924	0	20	2.15170392716976	16
hg_225377.1	ACACB	1	12	109116319	109116361	162	+	109116347	109116348	0	21	2.15170392716976	19
hg_108758.1	ACBD5	1	10	27240479	27240498	26988	-	27240485	27240486	1.78791408118734	1	1.78791408118734	2
hg_108761.1	ACBD5	1	10	27240787	27240827	30386	-	27240796	27240797	1.49050909464826	2	1.78791408118734	1
hg_108759.1	ACBD5	1	10	27240508	27240532	14072	-	27240525	27240526	0.968151195161907	3	1.78791408118734	4
hg_108763.1	ACBD5	1	10	27242068	27242136	14725	-	27242099	27242100	0.719341749616657	4	1.78791408118734	3
hg_108762.1	ACBD5	1	10	27240870	27240893	3206	-	27240887	27240888	0.105156407537443	5	1.78791408118734	5
hg_108760.1	ACBD5	1	10	27240557	27240568	2802	-	27240562	27240563	0	6	1.78791408118734	6
hg_179278.1	ACP5	1	19	11578937	11578984	63869	-	11578973	11578974	4.43019726659615	1	4.43019726659615	3
hg_179275.1	ACP5	1	19	11578768	11578796	1751	-	11578786	11578787	0.339456200178608	2	4.43019726659615	8
hg_179266.1	ACP5	1	19	11576810	11576833	805	-	11576828	11576829	0	3	4.43019726659615	10
hg_179267.1	ACP5	1	19	11577099	11577111	961	-	11577105	11577106	0	4	4.43019726659615	9
hg_179268.1	ACP5	1	19	11577445	11577454	131	-	11577449	11577450	0	5	4.43019726659615	14
hg_179269.1	ACP5	1	19	11577460	11577471	275	-	11577465	11577466	0	6	4.43019726659615	12
hg_179270.1	ACP5	1	19	11577637	11577671	177388	-	11577644	11577645	0	7	4.43019726659615	1
hg_179271.1	ACP5	1	19	11577685	11577708	64917	-	11577691	11577692	0	8	4.43019726659615	2
hg_179272.1	ACP5	1	19	11578251	11578269	259	-	11578256	11578257	0	9	4.43019726659615	13
hg_179273.1	ACP5	1	19	11578703	11578718	713	-	11578710	11578711	0	10	4.43019726659615	11
hg_179274.1	ACP5	1	19	11578732	11578749	2434	-	11578739	11578740	0	11	4.43019726659615	7
hg_179276.1	ACP5	1	19	11578888	11578903	11353	-	11578895	11578896	0	12	4.43019726659615	4
hg_179277.1	ACP5	1	19	11578917	11578928	2764	-	11578922	11578923	0	13	4.43019726659615	6
hg_179279.1	ACP5	1	19	11578988	11579000	3561	-	11578993	11578994	0	14	4.43019726659615	5
hg_14226.1	ACP6	1	1	147670435	147670498	27324	-	147670473	147670474	3.36282972213094	1	3.36282972213094	2
hg_14225.1	ACP6	1	1	147670236	147670285	31339	-	147670251	147670252	1.95083735648645	2	3.36282972213094	1
hg_14227.1	ACP6	1	1	147670513	147670530	9428	-	147670522	147670523	0.933235578576085	3	3.36282972213094	3
hg_55187.1	ACSL1	1	4	184826040	184826088	124305	-	184826064	184826065	1.56780231927744	1	1.56780231927744	2
hg_55170.1	ACSL1	1	4	184805686	184805729	9392	-	184805699	184805700	0.146510765537796	2	1.56780231927744	4
hg_55158.1	ACSL1	1	4	184773718	184773724	777	-	184773721	184773722	0	3	1.56780231927744	14
hg_55160.1	ACSL1	1	4	184776616	184776628	1017	-	184776622	184776623	0	4	1.56780231927744	11
hg_55166.1	ACSL1	1	4	184805477	184805504	6090	-	184805483	184805484	0	5	1.56780231927744	5
hg_55167.1	ACSL1	1	4	184805525	184805538	5489	-	184805532	184805533	0	6	1.56780231927744	6
hg_55168.1	ACSL1	1	4	184805544	184805565	17139	-	184805552	184805553	0	7	1.56780231927744	3
hg_55169.1	ACSL1	1	4	184805580	184805594	3787	-	184805585	184805586	0	8	1.56780231927744	9
hg_55171.1	ACSL1	1	4	184805752	184805764	841	-	184805759	184805760	0	9	1.56780231927744	13
hg_55173.1	ACSL1	1	4	184808448	184808459	345	-	184808453	184808454	0	10	1.56780231927744	17
hg_55174.1	ACSL1	1	4	184808473	184808494	1020	-	184808478	184808479	0	11	1.56780231927744	10
hg_55175.1	ACSL1	1	4	184808495	184808507	861	-	184808501	184808502	0	12	1.56780231927744	12
hg_55176.1	ACSL1	1	4	184808508	184808554	4455	-	184808519	184808520	0	13	1.56780231927744	7
hg_55178.1	ACSL1	1	4	184812240	184812263	357	-	184812247	184812248	0	14	1.56780231927744	16
hg_55185.1	ACSL1	1	4	184825960	184825974	236594	-	184825967	184825968	0	15	1.56780231927744	1
hg_55186.1	ACSL1	1	4	184826035	184826036	4009	-	184826035	184826036	0	16	1.56780231927744	8
hg_55188.1	ACSL1	1	4	184826418	184826441	645	-	184826425	184826426	0	17	1.56780231927744	15
hg_184268.1	ACSS2	1	20	34876565	34876599	56354	+	34876579	34876580	2.88898429605169	1	2.88898429605169	2
hg_184269.1	ACSS2	1	20	34876604	34876620	78829	+	34876611	34876612	1.11766246012331	2	2.88898429605169	1
hg_184267.1	ACSS2	1	20	34876541	34876560	10798	+	34876554	34876555	0.466617789288043	3	2.88898429605169	3
hg_184263.1	ACSS2	1	20	34874982	34874996	1197	+	34874988	34874989	0	4	2.88898429605169	5
hg_184264.1	ACSS2	1	20	34875026	34875049	2001	+	34875038	34875039	0	5	2.88898429605169	4
hg_184265.1	ACSS2	1	20	34875051	34875061	648	+	34875056	34875057	0	6	2.88898429605169	7
hg_184266.1	ACSS2	1	20	34875085	34875091	464	+	34875089	34875090	0	7	2.88898429605169	8
hg_184270.1	ACSS2	1	20	34921405	34921417	1024	+	34921411	34921412	0	8	2.88898429605169	6
hg_110516.1	ACTA2	1	10	88991281	88991374	153720	-	88991330	88991331	1.41540410263255	1	1.41540410263255	2
hg_110512.1	ACTA2	1	10	88991191	88991219	6232	-	88991196	88991197	0.345762198705017	2	1.41540410263255	6
hg_110506.1	ACTA2	1	10	88952763	88952779	893102	-	88952772	88952773	0.339456200178608	3	1.41540410263255	1
hg_110513.1	ACTA2	1	10	88991225	88991242	6711	-	88991230	88991231	0.163249900662435	4	1.41540410263255	5
hg_110510.1	ACTA2	1	10	88991139	88991168	7439	-	88991148	88991149	0.105156407537443	5	1.41540410263255	4
hg_110495.1	ACTA2	1	10	88939539	88939682	8210	-	88939617	88939618	0	6	1.41540410263255	3
hg_110502.1	ACTA2	1	10	88948825	88948873	4895	-	88948836	88948837	0	7	1.41540410263255	7
hg_110503.1	ACTA2	1	10	88948876	88948898	1429	-	88948883	88948884	0	8	1.41540410263255	10
hg_110509.1	ACTA2	1	10	88990995	88990998	808	-	88990996	88990997	0	9	1.41540410263255	12
hg_110511.1	ACTA2	1	10	88991173	88991184	1131	-	88991179	88991180	0	10	1.41540410263255	11
hg_110514.1	ACTA2	1	10	88991245	88991256	2417	-	88991250	88991251	0	11	1.41540410263255	8
hg_110515.1	ACTA2	1	10	88991264	88991275	2009	-	88991269	88991270	0	12	1.41540410263255	9
hg_31421.1	ACVR1	1	2	157876299	157876353	58015	-	157876329	157876330	3.95476553509692	1	3.95476553509692	2
hg_31420.1	ACVR1	1	2	157876049	157876119	69612	-	157876103	157876104	3.61820159826494	2	3.95476553509692	1
hg_31419.1	ACVR1	1	2	157875828	157875891	19067	-	157875839	157875840	0.7715833586952	3	3.95476553509692	3
hg_31417.1	ACVR1	1	2	157838587	157838634	1080	-	157838609	157838610	0	4	3.95476553509692	4
hg_31418.1	ACVR1	1	2	157874976	157875004	662	-	157874997	157874998	0	5	3.95476553509692	5
hg_24833.1	ADAM23	1	2	206443551	206443571	22158	+	206443558	206443559	4.80580019968725	1	4.80580019968725	2
hg_24832.1	ADAM23	1	2	206443496	206443543	34323	+	206443531	206443532	4.57618050298434	2	4.80580019968725	1
hg_24834.1	ADAM23	1	2	206443587	206443607	5207	+	206443592	206443593	0.860958578221132	3	4.80580019968725	3
hg_24840.1	ADAM23	1	2	206542053	206542062	511	+	206542059	206542060	0.316066664726641	4	4.80580019968725	8
hg_24831.1	ADAM23	1	2	206443368	206443395	1827	+	206443380	206443381	0.251316490276707	5	4.80580019968725	4
hg_24835.1	ADAM23	1	2	206443634	206443645	1820	+	206443639	206443640	0.0732553827688982	6	4.80580019968725	5
hg_24836.1	ADAM23	1	2	206443830	206443844	1591	+	206443836	206443837	0	7	4.80580019968725	6
hg_227941.1	ADAM23	1	2	206443415	206443424	1233	+	206443421	206443422	0	8	4.80580019968725	7
hg_55619.1	ADAMTS16	1	5	5140323	5140337	2861	+	5140329	5140330	2.02633174290684	1	2.02633174290684	2
hg_55618.1	ADAMTS16	1	5	5140295	5140306	1103	+	5140300	5140301	1.0543280561232	2	2.02633174290684	4
hg_55620.1	ADAMTS16	1	5	5140349	5140369	2352	+	5140361	5140362	0.339456200178608	3	2.02633174290684	3
hg_55621.1	ADAMTS16	1	5	5146122	5146133	218	+	5146127	5146128	0	4	2.02633174290684	6
hg_55622.1	ADAMTS16	1	5	5146153	5146165	293	+	5146158	5146159	0	5	2.02633174290684	5
hg_55623.1	ADAMTS16	1	5	5146182	5146253	4317	+	5146191	5146192	0	6	2.02633174290684	1
hg_61952.1	ADAMTS6	1	5	65481906	65481944	10805	-	65481919	65481920	1.72216059319776	1	1.72216059319776	3
hg_61951.1	ADAMTS6	1	5	65481858	65481885	12676	-	65481873	65481874	0.251316490276707	2	1.72216059319776	2
hg_61946.1	ADAMTS6	1	5	65198761	65198775	737	-	65198769	65198770	0	3	1.72216059319776	6
hg_61948.1	ADAMTS6	1	5	65481597	65481609	1402	-	65481603	65481604	0	4	1.72216059319776	5
hg_61949.1	ADAMTS6	1	5	65481777	65481809	6082	-	65481794	65481795	0	5	1.72216059319776	4
hg_61950.1	ADAMTS6	1	5	65481826	65481855	15906	-	65481847	65481848	0	6	1.72216059319776	1
hg_14834.1	ADAR	1	1	154627945	154628004	205376	-	154627967	154627968	18.2021499726385	1	18.2021499726385	2
hg_14828.1	ADAR	1	1	154608140	154608219	239605	-	154608185	154608186	14.691899902043	2	18.2021499726385	1
hg_14831.1	ADAR	1	1	154608706	154608728	2894	-	154608718	154608719	5.20095478919994	3	18.2021499726385	5
hg_14830.1	ADAR	1	1	154608668	154608679	1105	-	154608673	154608674	3.27290510495009	4	18.2021499726385	9
hg_14833.1	ADAR	1	1	154627906	154627917	5386	-	154627911	154627912	1.59603315174626	5	18.2021499726385	4
hg_14827.1	ADAR	1	1	154608108	154608126	19704	-	154608119	154608120	1.39171224229707	6	18.2021499726385	3
hg_14829.1	ADAR	1	1	154608284	154608299	2199	-	154608288	154608289	1.04140657793081	7	18.2021499726385	6
hg_14825.1	ADAR	1	1	154602532	154602552	1271	-	154602537	154602538	0	8	18.2021499726385	8
hg_14826.1	ADAR	1	1	154608049	154608060	1656	-	154608053	154608054	0	9	18.2021499726385	7
hg_14832.1	ADAR	1	1	154627577	154627596	700	-	154627586	154627587	0	10	18.2021499726385	10
hg_189533.1	ADARB1	1	21	45073837	45073842	19646	+	45073840	45073841	3.19747511656131	1	3.19747511656131	2
hg_189534.1	ADARB1	1	21	45074551	45074628	61341	+	45074579	45074580	1.75441638234056	2	3.19747511656131	1
hg_189537.1	ADARB1	1	21	45128169	45128205	131	+	45128178	45128179	0	3	3.19747511656131	5
hg_189538.1	ADARB1	1	21	45152515	45152540	1961	+	45152529	45152530	0	4	3.19747511656131	3
hg_189539.1	ADARB1	1	21	45152558	45152571	927	+	45152565	45152566	0	5	3.19747511656131	4
hg_44160.1	ADCY5	1	3	123314554	123314577	662	-	123314570	123314571	1.41540410263255	1	1.41540410263255	5
hg_44159.1	ADCY5	1	3	123314525	123314544	407	-	123314538	123314539	1.07901262442498	2	1.41540410263255	7
hg_44164.1	ADCY5	1	3	123404560	123404593	443	-	123404579	123404580	0	3	1.41540410263255	6
hg_44165.1	ADCY5	1	3	123448501	123448534	1131	-	123448503	123448504	0	4	1.41540410263255	3
hg_44168.1	ADCY5	1	3	123449262	123449294	2484	-	123449267	123449268	0	5	1.41540410263255	2
hg_44169.1	ADCY5	1	3	123449704	123449795	8498	-	123449753	123449754	0	6	1.41540410263255	1
hg_44170.1	ADCY5	1	3	123450165	123450200	803	-	123450170	123450171	0	7	1.41540410263255	4
hg_153992.1	ADCY7	1	16	50246109	50246175	17743	+	50246169	50246170	1.0986530105775	1	1.0986530105775	3
hg_153993.1	ADCY7	1	16	50266529	50266574	37801	+	50266550	50266551	0	2	1.0986530105775	1
hg_153995.1	ADCY7	1	16	50274117	50274182	19744	+	50274147	50274148	0	3	1.0986530105775	2
hg_153996.1	ADCY7	1	16	50279442	50279459	1000	+	50279451	50279452	0	4	1.0986530105775	5
hg_153997.1	ADCY7	1	16	50279484	50279495	421	+	50279489	50279490	0	5	1.0986530105775	7
hg_153998.1	ADCY7	1	16	50279515	50279548	3109	+	50279521	50279522	0	6	1.0986530105775	4
hg_153999.1	ADCY7	1	16	50279558	50279585	492	+	50279579	50279580	0	7	1.0986530105775	6
hg_154000.1	ADCY7	1	16	50303995	50304007	390	+	50304000	50304001	0	8	1.0986530105775	8
hg_198616.1	ADGRG2	1	X	19122576	19122642	4412	-	19122599	19122600	2.00911905136694	1	2.00911905136694	2
hg_198615.1	ADGRG2	1	X	19122457	19122504	6575	-	19122463	19122464	2.00768022949404	2	2.00911905136694	1
hg_198617.1	ADGRG2	1	X	19122947	19122962	773	-	19122955	19122956	0.522600773092479	3	2.00911905136694	3
hg_198613.1	ADGRG2	1	X	19122119	19122129	127	-	19122123	19122124	0	4	2.00911905136694	5
hg_198614.1	ADGRG2	1	X	19122385	19122396	329	-	19122390	19122391	0	5	2.00911905136694	4
hg_3725.1	ADGRL2	1	1	81800368	81800384	5277	+	81800377	81800378	3.08613984074041	1	3.08613984074041	3
hg_3726.1	ADGRL2	1	1	81800590	81800625	5727	+	81800601	81800602	1.80922309983625	2	3.08613984074041	2
hg_3739.1	ADGRL2	1	1	81943387	81943402	1540	+	81943396	81943397	0.584900805574534	3	3.08613984074041	8
hg_3704.1	ADGRL2	1	1	81306193	81306212	1895	+	81306206	81306207	0.33280579985128	4	3.08613984074041	6
hg_3707.1	ADGRL2	1	1	81306310	81306327	2906	+	81306320	81306321	0.274712306726288	5	3.08613984074041	4
hg_3703.1	ADGRL2	1	1	81306121	81306191	7154	+	81306165	81306166	0.251667173075239	6	3.08613984074041	1
hg_3738.1	ADGRL2	1	1	81943343	81943356	1381	+	81943349	81943351	0.242811281957743	7	3.08613984074041	9
hg_3702.1	ADGRL2	1	1	81306098	81306120	1323	+	81306114	81306115	0	8	3.08613984074041	10
hg_3705.1	ADGRL2	1	1	81306268	81306281	372	+	81306272	81306273	0	9	3.08613984074041	14
hg_3706.1	ADGRL2	1	1	81306297	81306308	384	+	81306302	81306303	0	10	3.08613984074041	13
hg_3708.1	ADGRL2	1	1	81306328	81306353	1294	+	81306347	81306348	0	11	3.08613984074041	11
hg_3709.1	ADGRL2	1	1	81306387	81306419	2332	+	81306411	81306412	0	12	3.08613984074041	5
hg_3710.1	ADGRL2	1	1	81306428	81306437	237	+	81306433	81306434	0	13	3.08613984074041	16
hg_3721.1	ADGRL2	1	1	81699434	81699463	1697	+	81699448	81699449	0	14	3.08613984074041	7
hg_3722.1	ADGRL2	1	1	81699602	81699617	355	+	81699607	81699608	0	15	3.08613984074041	15
hg_3723.1	ADGRL2	1	1	81699665	81699702	1181	+	81699673	81699674	0	16	3.08613984074041	12
hg_46727.1	ADRA2C	1	4	3766373	3766396	5058	+	3766384	3766385	1.20572904973758	1	1.20572904973758	2
hg_46726.1	ADRA2C	1	4	3765906	3765921	7082	+	3765914	3765915	1.10187287086399	2	1.20572904973758	1
hg_191479.1	ADRBK2	1	22	25564819	25564887	23002	+	25564835	25564836	9.84339546719643	1	9.84339546719643	2
hg_191477.1	ADRBK2	1	22	25564628	25564688	25418	+	25564678	25564679	3.17032885190329	2	9.84339546719643	1
hg_191480.1	ADRBK2	1	22	25564974	25565039	7287	+	25565026	25565027	0.466617789288043	3	9.84339546719643	4
hg_191478.1	ADRBK2	1	22	25564695	25564721	10173	+	25564703	25564704	0.461979988150125	4	9.84339546719643	3
hg_141839.1	ADSSL1	1	14	104724193	104724211	9533	+	104724200	104724201	1.49742450459314	1	1.49742450459314	2
hg_141840.1	ADSSL1	1	14	104724221	104724236	27347	+	104724228	104724229	0.910375332137078	2	1.49742450459314	1
hg_141838.1	ADSSL1	1	14	104724177	104724189	3956	+	104724184	104724185	0	3	1.49742450459314	3
hg_141841.1	ADSSL1	1	14	104741918	104741927	74	+	104741924	104741925	0	4	1.49742450459314	5
hg_141842.1	ADSSL1	1	14	104745960	104745973	129	+	104745962	104745963	0	5	1.49742450459314	4
hg_2133.1	AGO1	1	1	35883225	35883248	60677	+	35883232	35883233	20.8144065461742	1	20.8144065461742	2
hg_2132.1	AGO1	1	1	35883189	35883221	85303	+	35883214	35883215	17.3951487843926	2	20.8144065461742	1
hg_2135.1	AGO1	1	1	35926962	35926966	3720	+	35926964	35926965	1.3448684018607	3	20.8144065461742	4
hg_2131.1	AGO1	1	1	35869750	35869817	5727	+	35869806	35869807	0	4	20.8144065461742	3
hg_2140.1	AGO3	1	1	35931190	35931277	37040	+	35931251	35931252	4.66379645766912	1	4.66379645766912	2
hg_2138.1	AGO3	1	1	35931076	35931148	40353	+	35931104	35931105	3.58837432756242	2	4.66379645766912	1
hg_2139.1	AGO3	1	1	35931162	35931186	10900	+	35931169	35931170	1.29117837952853	3	4.66379645766912	4
hg_2141.1	AGO3	1	1	35931293	35931331	8328	+	35931298	35931299	0.806401062845179	4	4.66379645766912	5
hg_2136.1	AGO3	1	1	35930712	35930755	13155	+	35930717	35930718	0.33280579985128	5	4.66379645766912	3
hg_2137.1	AGO3	1	1	35930763	35930779	2258	+	35930768	35930769	0	6	4.66379645766912	6
hg_87252.1	AGPAT5	1	8	6708333	6708421	73071	+	6708346	6708347	29.707922975158	1	29.707922975158	2
hg_87255.1	AGPAT5	1	8	6708626	6708676	134932	+	6708641	6708642	18.1334016723015	2	29.707922975158	1
hg_87256.1	AGPAT5	1	8	6708685	6708702	18783	+	6708692	6708693	3.14251430863308	3	29.707922975158	3
hg_87254.1	AGPAT5	1	8	6708440	6708458	1855	+	6708450	6708451	0.933235578576085	4	29.707922975158	4
hg_87253.1	AGPAT5	1	8	6708422	6708431	542	+	6708429	6708430	0	5	29.707922975158	5
hg_87265.1	AGPAT5	1	8	6738693	6738694	15	+	6738693	6738694	0	6	29.707922975158	6
hg_18497.1	AHCTF1	1	1	246931934	246931981	62608	-	246931947	246931948	9.40480426996385	1	9.40480426996385	2
hg_18496.1	AHCTF1	1	1	246931892	246931933	63753	-	246931923	246931924	4.58435783165959	2	9.40480426996385	1
hg_18498.1	AHCTF1	1	1	246931984	246931995	3833	-	246931989	246931990	0.840707430532734	3	9.40480426996385	4
hg_18490.1	AHCTF1	1	1	246890942	246890990	481	-	246890954	246890955	0	4	9.40480426996385	6
hg_18494.1	AHCTF1	1	1	246931326	246931361	576	-	246931356	246931357	0	5	9.40480426996385	5
hg_18495.1	AHCTF1	1	1	246931860	246931871	4428	-	246931865	246931866	0	6	9.40480426996385	3
hg_77349.1	AHR	1	7	17298615	17298638	55382	+	17298621	17298622	1.47083037973032	1	1.47083037973032	2
